Student_ID,School_ID,State,District,Area,Gender,Caste,Age,Standard,Annual_Family_Income_INR,Attendance_Percent,Distance_From_School_KM,Dropout_Status,Dropout_Reason
STU00001,SCH1152,Rajasthan,Jaipur,Urban,Female,General,16,12,50000,82,6.0,Yes,Lack of Transport
STU00002,SCH1220,Gujarat,Rajkot,Urban,Female,OBC,17,11,50000,80,0.2,Yes,Lack of Interest
STU00003,SCH1084,Uttar Pradesh,Kanpur,Rural,Female,General,12,8,75000,68,2.8,Yes,Poor Academic Performance
STU00004,SCH1146,Uttar Pradesh,Lucknow,Rural,Male,SC,6,2,75000,61,2.3,Yes,Child Labour
STU00005,SCH1024,Gujarat,Ahmedabad,Rural,Female,OBC,9,4,150000,81,7.6,No,None
STU00006,SCH1163,Rajasthan,Jaipur,Semi-Urban,Female,General,14,8,200000,64,5.0,No,None
STU00007,SCH1247,Uttar Pradesh,Aligarh,Semi-Urban,Female,OBC,16,10,300000,64,3.2,No,None
STU00008,SCH1142,Uttar Pradesh,Kanpur,Urban,Female,OBC,13,8,200000,60,4.4,No,None
STU00009,SCH1229,Uttar Pradesh,Aligarh,Semi-Urban,Male,General,15,10,100000,100,5.0,No,None
STU00010,SCH1134,Uttar Pradesh,Aligarh,Urban,Male,OBC,9,3,300000,55,4.8,No,None
STU00011,SCH1129,Rajasthan,Udaipur,Urban,Male,SC,17,12,75000,88,2.9,Yes,Child Labour
STU00012,SCH1118,Maharashtra,Nagpur,Urban,Female,OBC,12,7,50000,56,4.6,Yes,Poverty
STU00013,SCH1081,Maharashtra,Aurangabad,Urban,Female,ST,6,1,100000,61,1.0,No,None
STU00014,SCH1123,Maharashtra,Pune,Semi-Urban,Male,OBC,8,3,75000,76,6.4,Yes,Poverty
STU00015,SCH1003,Madhya Pradesh,Jabalpur,Rural,Male,SC,7,2,75000,100,3.7,Yes,Poverty
STU00016,SCH1151,Uttar Pradesh,Agra,Rural,Female,General,8,4,100000,91,1.5,No,None
STU00017,SCH1247,Gujarat,Surat,Rural,Male,ST,12,8,75000,93,3.9,Yes,Lack of Transport
STU00018,SCH1227,Uttar Pradesh,Kanpur,Urban,Female,OBC,13,8,75000,58,4.1,Yes,Family Issues
STU00019,SCH1048,Maharashtra,Nagpur,Rural,Male,OBC,14,8,100000,77,2.5,No,None
STU00020,SCH1182,Uttar Pradesh,Aligarh,Urban,Male,OBC,6,2,75000,97,3.3,No,None
STU00021,SCH1035,Uttar Pradesh,Agra,Rural,Female,OBC,7,1,75000,63,5.9,Yes,Poverty
STU00022,SCH1213,Uttar Pradesh,Kanpur,Semi-Urban,Female,OBC,14,8,500000,80,2.4,No,None
STU00023,SCH1127,Maharashtra,Aurangabad,Rural,Male,OBC,8,4,300000,60,7.0,Yes,Lack of Transport
STU00024,SCH1173,Maharashtra,Pune,Rural,Male,OBC,16,11,200000,78,4.8,Yes,Poverty
STU00025,SCH1125,Rajasthan,Jodhpur,Rural,Male,General,12,7,50000,100,0.2,Yes,Poverty
STU00026,SCH1109,Gujarat,Ahmedabad,Rural,Male,OBC,11,6,75000,80,1.7,Yes,Poverty
STU00027,SCH1058,Uttar Pradesh,Agra,Rural,Male,ST,13,9,50000,58,0.2,Yes,Poverty
STU00028,SCH1247,Maharashtra,Nagpur,Rural,Female,SC,7,3,75000,100,8.8,Yes,Poverty
STU00029,SCH1100,Gujarat,Rajkot,Urban,Male,OBC,8,2,50000,88,5.0,No,None
STU00030,SCH1237,Gujarat,Ahmedabad,Urban,Female,OBC,11,5,300000,59,11.5,Yes,Poverty
STU00031,SCH1171,Gujarat,Vadodara,Rural,Female,SC,17,12,150000,81,2.8,Yes,Lack of Interest
STU00032,SCH1008,Gujarat,Surat,Urban,Male,General,17,11,50000,86,2.3,Yes,Family Issues
STU00033,SCH1021,Gujarat,Ahmedabad,Rural,Male,General,7,2,150000,83,5.0,No,None
